cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
7107,11136,3506,91.25,163.076,24.494,368.71,168.558,320.637,16.182,38.0,465.841,9.197,155.86,102.61,22.227,138.581,4.093,23.728,205.704,572.352,64.611,1.0,56.101,24.819,276.339,33.226,5.826,97.378,110.991,4.161,15.398,101.528,9.369,374.927,8.568,29.614,35.965,44.665,3.449,22.255,173.462,345.296,82.131,84.518,27.289,27.0,74.589,17.512,30.452,15.257,55.448,68.903,-22.360813,-2.124321,16.280344,5.217521
7108,22041,12123,97.64,195.211,25.515,10.762,70.816,802.8,54.644,81.343,1.0,426.215,760.119,170.015,192.044,124.207,21.619,33.026,213.168,1.0,558.897,623.565,80.058,254.603,713.402,323.258,8.239,32.508,467.2,29.453,14.29,39.955,20.875,124.898,24.966,135.361,14.736,34.079,8.346,35.54,375.306,160.948,261.345,25.092,20.371,45.0,66.525,218.02,9.246,143.569,140.671,94.624,-2.4354286,96.405266,-20.077269,4.5967364
7109,8812,6702,103.33,59.683,11.215,260.241,101.281,252.375,19.219,28.486,508.655,12.271,113.35,86.514,30.187,95.458,7.186,24.761,116.146,530.799,17.685,1.0,94.432,101.881,207.76,26.065,5.826,52.896,102.918,1.0,25.366,53.777,13.553,237.635,8.568,39.567,30.97,43.342,4.673,26.241,233.504,423.915,38.538,92.548,16.22,30.0,94.751,17.512,11.603,13.22,69.652,94.624,-25.161987,1.0358849,14.609596,5.6386805
7110,14732,9751,206.37,253.894,321.742,147.433,111.436,210.118,47.559,38.0,109.055,25.591,284.404,61.363,137.649,136.527,19.557,27.86,98.021,278.019,154.291,182.783,53.705,139.711,157.606,158.548,3.413,52.896,109.982,121.133,6.538,148.023,22.968,17.743,6.045,54.496,30.97,40.695,12.018,15.613,336.981,498.467,112.404,65.244,34.208,31.0,70.557,156.688,4.534,194.486,92.141,70.961,30.737593,3.1970043,-1.456717,-7.1140456
7111,1583,3470,196.42,195.211,16.322,261.326,91.126,254.542,29.34,16.857,423.027,9.197,101.204,66.393,11.614,97.512,1.0,21.662,141.734,587.934,4.128,176.348,59.694,107.485,249.726,27.258,1.0,58.456,73.655,10.484,1.0,80.166,7.276,75.785,9.83,1.0,8.492,12.909,7.121,6.314,237.336,281.588,5.844,158.399,32.824,21.0,44.347,1.0,18.671,16.275,40.06,74.047,-10.764812,8.025778,15.77081,-2.7443635
7112,6689,10331,107.31,441.119,69.439,194.075,153.325,213.369,69.827,25.314,94.784,12.271,118.41,60.356,73.968,85.191,16.464,25.794,19.125,319.572,59.397,498.087,54.903,9.407,279.41,90.516,5.826,51.043,91.818,231.782,10.968,87.706,24.014,9.93,22.443,88.086,39.711,23.494,15.691,20.927,372.751,482.201,48.225,62.032,12.069,36.0,39.307,64.691,3.356,85.523,164.344,53.471,44.203148,33.404686,4.317849,-21.391212
7114,15403,15818,51.59,122.557,113.362,1.0,12.424,135.356,3.024,2.057,1.0,2.025,241.894,544.263,133.669,27.695,9.248,6.165,67.102,6.194,606.865,1.0,18.968,513.811,552.702,238.516,3.413,45.482,105.945,1.0,12.075,93.989,1.0,6.581,23.705,71.913,49.701,30.11,13.243,47.496,1.0,547.265,159.629,10.637,41.126,18.0,2.008,354.837,5.712,236.239,151.323,7.173,5.6685867,106.58283,-25.37285,7.653902
7115,9671,3604,341.82,128.145,24.494,160.45,91.126,626.188,11.122,125.743,431.182,8.172,144.726,218.305,35.494,144.741,2.031,21.662,153.462,459.813,91.723,4.217,50.112,164.931,429.874,38.0,2.207,62.163,194.745,1.0,12.075,120.377,8.323,478.734,64.068,20.905,30.97,48.634,2.224,11.628,183.682,227.368,113.615,625.777,30.057,25.0,158.259,8.077,84.643,12.202,72.019,82.278,-71.51634,-18.533688,7.1488605,24.572636
7116,9487,14877,158.62,341.917,33.687,368.71,91.126,315.219,41.486,40.114,5.078,3.049,255.052,127.761,1.0,15.374,10.279,10.298,40.448,168.943,3.086,451.435,2.198,5.203,428.85,36.806,2.207,39.922,13.109,105.326,5.43,3.513,1.0,1.0,6.045,44.543,14.736,8.939,5.897,19.598,2.277,385.961,19.164,45.971,14.837,15.0,30.234,3.359,4.534,16.275,157.242,43.182,76.88317,-27.52184,-15.448401,-16.024517
7117,18161,2885,72.34,132.337,44.923,437.046,140.632,396.483,35.413,59.143,155.947,8.172,178.128,109.653,3.653,84.164,3.062,33.026,132.139,416.529,7.257,239.087,51.309,111.689,128.946,21.29,1.0,21.388,77.691,269.718,1.0,97.758,6.23,50.113,1.0,8.465,17.234,14.232,5.897,3.657,168.352,555.398,24.007,57.214,21.755,21.0,131.041,8.077,4.534,20.349,64.917,87.422,16.08984,21.768936,9.190417,-9.217223
7118,9223,8703,179.51,200.8,14.279,232.039,134.285,249.125,59.705,38.0,109.055,10.222,113.35,120.719,6.307,52.336,5.124,22.695,25.522,726.444,13.514,240.696,151.928,236.388,245.632,32.032,5.826,91.818,105.945,288.687,20.936,53.777,15.645,65.74,13.614,43.299,44.706,55.25,30.382,42.182,270.551,682.814,19.164,86.124,81.252,42.0,24.186,15.153,17.493,13.22,51.897,73.019,12.885143,20.712128,10.556302,-8.051635
7119,12561,568,147.96,230.141,78.632,339.423,146.978,346.641,52.62,26.371,149.831,8.172,175.091,226.353,117.749,52.336,13.372,19.596,31.919,373.244,63.568,366.174,48.914,264.411,355.154,82.161,3.413,38.069,156.4,203.329,12.075,7.283,21.921,13.278,11.091,73.157,15.985,38.049,101.39,14.285,280.771,478.134,84.553,58.82,23.139,36.0,80.638,85.921,13.959,45.807,137.12,61.701,29.355331,23.079128,5.9337773,-13.503648
