cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
291,4952,13332,48.47,1.0,1.0,5.094,1.0,15.707,24.208,6.097,1.0,9.066,686.629,19.44,1.0,745.255,1.0,26.537,14.092,1.0,273.339,12.773,35.938,8.519,122.058,40.056,1.0,6.698,1.0,1.0,2.018,737.814,5.668,615.769,52.102,11.278,4.021,6.4,4.737,5.008,205.701,882.349,33.668,72.282,6.683,28.081,5.167,3.043,5.132,3.053,3.008,27.74,-96.5031,77.13269,16.528742,-22.526333
292,22044,5603,128.48,266.29,76.776,32.731,60.12,80.836,26.318,11.194,39.594,7.913,49.373,21.609,62.708,49.951,4.109,23.472,12.078,237.396,11.181,266.727,15.193,239.471,114.424,133.583,2.502,54.179,27.124,26.506,6.092,191.68,4.501,1.0,2.002,18.472,11.071,26.92,20.93,8.014,50.013,433.418,3.108,51.317,29.413,77.229,3.083,3.043,3.066,9.214,141.563,20.253,21.837234,28.22059,-2.1320074,-0.69752085
293,9536,9585,109.16,260.74,226.78,57.296,114.413,198.489,32.647,23.427,21.782,170.381,316.474,86.691,94.396,89.911,11.363,27.558,30.205,379.461,175.348,115.364,50.131,306.071,134.055,142.833,2.502,109.257,175.512,58.389,3.037,258.004,16.172,25.923,9.016,25.667,18.12,36.64,23.421,11.02,390.221,510.82,78.981,70.186,15.775,24.069,48.919,64.331,3.066,97.512,77.306,124.003,49.73037,-11.796032,17.555397,-2.240054
294,15548,13742,147.96,174.16,214.409,1.0,34.783,35.666,5.22,5.078,3.969,11.37,64.095,64.997,339.559,31.969,8.254,26.537,14.092,46.461,245.341,36.318,35.938,36.448,35.9,116.111,2.502,95.962,14.585,3.126,7.11,420.704,9.169,7.231,10.018,83.222,32.219,47.44,33.387,20.038,315.26,536.621,149.585,48.172,39.642,18.051,5.167,220.617,9.265,142.688,41.161,28.809,56.629177,-4.857826,16.120785,-5.7763963
295,17431,3286,110.43,307.36,41.207,13.283,104.761,14.656,11.549,8.136,26.235,7.913,109.313,17.27,52.701,120.88,1.0,19.387,8.049,559.031,166.439,137.227,9.734,238.397,30.447,94.528,1.0,42.783,36.529,69.017,1.0,222.77,3.334,52.923,1.0,1.0,7.042,17.2,13.456,3.004,19.74,262.102,1.0,39.786,28.276,119.355,1.0,1.0,2.033,7.16,13.048,24.531,-13.029278,13.332634,-9.573237,7.6029572
296,3438,11485,137.87,1.0,11.825,50.131,1.0,184.833,18.933,14.252,1.0,11.37,682.423,40.049,1.0,670.33,1.0,27.558,27.183,1.0,288.61,61.545,40.305,90.158,153.686,43.139,4.005,16.194,15.63,3.126,8.128,622.784,3.334,888.885,45.088,17.444,5.028,7.48,4.737,6.01,208.584,640.855,39.991,53.413,15.775,40.117,57.252,5.086,16.496,4.08,35.137,67.315,-94.51031,76.828064,16.66704,-23.453669
297,17214,6846,31.41,295.15,44.3,5.094,126.478,33.565,59.02,16.291,93.033,12.522,100.9,10.762,1.0,235.765,15.508,24.494,10.064,331.727,12.454,234.773,19.561,8.519,34.809,70.889,7.009,23.791,6.225,73.268,20.349,342.981,16.172,16.577,11.02,24.639,12.078,40.96,12.211,15.028,260.481,506.692,11.538,38.738,14.638,25.072,13.501,11.215,4.099,16.401,42.165,22.392,34.313583,7.2071075,7.2060833,3.1207647
298,6636,4717,73.05,13.21,109.251,1.0,58.913,1.0,1.0,7.116,67.798,20.588,162.943,16.186,84.389,24.976,1.0,21.429,20.134,543.119,23.907,1.0,29.387,499.426,3.181,132.556,5.507,44.683,18.765,1.0,7.11,156.446,3.334,61.231,21.04,11.278,14.092,33.4,3.491,16.03,71.636,285.839,11.538,707.533,38.505,291.873,2.042,6.107,88.813,3.053,3.008,43.784,-72.62945,-17.927887,-29.66343,-3.030972
300,22129,6354,46.33,52.06,52.033,10.212,14.272,23.06,16.824,10.174,32.172,11.37,8.361,15.101,57.705,9.991,3.073,22.451,14.092,30.549,22.634,61.545,20.652,367.3,41.353,144.889,2.502,75.07,13.54,228.432,5.073,92.195,4.501,1.0,2.002,8.194,18.12,36.64,40.86,4.006,77.403,562.421,2.054,71.234,20.321,91.271,3.083,3.043,4.099,6.134,102.406,22.392,44.40215,36.05014,2.3942451,-9.635625
301,24384,3097,120.67,445.0,28.836,48.084,121.652,68.23,33.702,16.291,30.688,6.761,188.181,22.694,72.715,283.717,6.182,19.387,20.134,355.594,227.525,335.682,31.57,245.916,240.934,250.75,2.502,37.086,142.072,49.887,7.11,155.41,6.835,3.077,2.002,22.583,19.127,29.08,48.334,21.04,48.571,403.49,5.215,21.965,45.324,75.223,3.083,2.021,8.232,7.16,121.482,56.619,14.732086,10.842955,3.229691,9.90589
