cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5304,9432,1089,131.47,237.17,4.36,1.0,270.73,110.694,411.839,253.325,124.075,216.013,276.365,268.875,5.036,58.307,52.429,281.969,38.081,1.0,335.675,232.892,232.231,73.229,428.621,37.686,82.53,331.865,30.0,30.591,323.258,71.658,274.411,25.594,13.22,60.551,366.814,391.286,162.603,27.655,215.795,251.574,283.178,43.849,15.886381,-74.576836,-13.318062,-11.086262
5306,2563,4118,157.76,120.266,4.36,101.609,252.748,105.471,235.765,176.082,28.495,222.098,283.837,192.69,8.064,36.623,60.143,146.688,11.906,17.07,64.317,124.193,148.147,76.281,204.455,40.508,184.7,151.49,76.0,69.652,279.597,32.524,206.058,18.567,20.858,62.982,343.723,208.34,80.752,50.834,18.224,35.619,274.075,49.971,-2.7162037,0.37193298,5.0460467,-4.57091
5309,14961,2835,189.74,487.511,3.24,104.443,375.625,135.506,488.012,191.531,49.444,242.383,405.51,321.712,7.055,56.758,79.429,313.188,53.349,26.444,264.318,201.835,244.243,130.199,383.544,82.839,163.028,503.702,53.0,90.957,327.416,96.661,450.55,15.054,14.748,69.058,500.5,458.921,183.59,39.245,80.028,236.738,532.359,168.724,13.60181,-63.375137,-15.710115,-8.111799
5310,1200,10900,96.51,120.266,1.0,193.715,318.682,75.435,219.531,11.299,18.021,204.857,247.548,286.077,4.027,8.744,21.571,109.225,4.272,47.87,81.402,136.616,149.148,64.073,208.11,67.318,319.896,242.212,43.0,70.835,246.332,11.871,144.278,3.342,28.495,69.058,466.471,116.312,47.172,31.132,5.053,98.262,304.796,58.54,-14.912565,-16.99723,8.7698555,6.0151925
5311,16876,7847,294.63,194.66,8.84,23.672,202.798,202.106,98.402,1.0,23.258,6.071,287.038,39.092,14.118,208.544,98.714,252.831,144.961,22.426,294.469,17.564,183.182,346.886,1.0,43.331,287.903,142.952,42.0,47.162,94.559,251.022,156.108,97.035,95.706,88.504,202.745,110.768,403.958,74.013,19.237,38.916,323.001,280.132,23.71228,-10.577412,9.347141,-8.822648
5312,15869,10300,126.35,219.457,2.12,250.396,266.734,228.224,53.448,106.564,15.402,181.53,296.644,209.893,7.055,22.684,103.857,386.031,19.54,27.783,126.629,184.236,190.189,73.229,202.018,9.466,216.693,256.087,44.0,69.652,355.484,36.873,62.78,24.423,7.11,105.518,512.653,66.417,114.332,35.768,14.171,162.554,440.196,109.96,-15.875467,-44.240227,-2.0400128,16.489088
5314,10677,2982,142.56,225.362,5.48,64.766,234.766,131.588,547.952,194.106,62.537,161.246,296.644,279.934,13.109,55.209,172.0,240.344,45.715,3.678,189.946,155.25,183.182,153.597,423.748,27.809,76.338,246.481,47.0,77.937,327.416,76.007,152.164,17.396,17.803,38.675,560.051,105.224,126.924,27.655,104.345,155.96,382.167,70.783,7.5145493,-67.08783,-11.612373,-7.474658
5315,6541,12362,121.24,206.468,1.0,248.979,267.733,123.753,77.174,235.302,45.516,200.8,301.981,150.911,4.027,36.623,38.286,256.994,2.091,11.713,73.362,104.523,157.156,68.143,211.765,17.932,303.383,164.298,67.0,250.75,405.382,32.524,64.095,40.819,708.243,56.905,543.036,60.873,129.023,49.675,11.132,90.02,469.779,91.596,-47.298195,-33.138214,10.492576,24.558794
5316,9033,16664,173.68,30.521,1.0,240.477,170.83,64.988,168.333,101.415,2.309,91.265,204.856,118.963,8.064,2.549,24.143,53.031,3.181,33.139,52.257,156.285,77.076,22.364,212.983,12.288,120.715,164.298,33.0,85.039,260.886,7.522,61.466,4.513,34.606,35.029,285.387,24.284,15.691,12.589,1.0,180.688,296.831,1.0,30.202782,16.376236,17.149168,-2.4056716
5317,12585,1111,297.62,408.394,3.24,10.919,344.656,75.435,534.216,185.094,69.084,288.022,331.865,338.915,21.182,35.074,103.857,263.238,70.799,3.678,254.268,327.098,290.29,94.593,356.741,164.678,44.345,402.308,54.0,87.406,287.914,69.484,220.517,20.91,13.22,81.212,258.65,376.872,227.664,23.02,196.545,103.208,245.63,144.239,16.841442,-80.068184,-12.571388,-13.2167015
5318,3420,11016,150.37,54.138,1.0,161.123,301.699,37.565,138.362,129.737,61.228,196.743,68.24,700.177,3.018,1.0,462.571,113.388,34.809,34.479,25.121,56.903,25.024,48.814,409.128,96.949,422.066,100.26,231.0,58.999,176.683,1.0,40.434,93.522,66.683,161.423,94.58,3.218,21.987,17.225,4.04,132.881,700.755,40.176,-68.54332,-44.24942,17.755531,10.498441
5319,10382,7811,72.49,171.043,1.0,203.634,293.707,153.788,189.561,1.0,12.784,118.649,226.202,91.93,8.064,7.195,22.857,202.881,2.091,14.391,152.76,113.84,195.194,64.073,248.313,16.521,265.198,166.433,33.0,86.223,355.484,7.522,75.925,1.0,71.266,60.551,549.113,71.961,74.456,24.179,3.026,91.668,325.277,38.952,-25.102608,-32.63057,5.731171,16.519627
5320,1784,298,190.45,94.287,7.72,71.851,270.73,75.435,190.81,1.0,12.784,220.07,114.135,204.978,7.055,13.391,124.429,252.831,3.181,9.035,41.201,112.805,164.163,21.346,256.841,98.36,191.925,197.385,85.0,74.386,312.863,19.48,106.158,19.739,133.894,105.518,262.296,105.224,89.147,32.291,1.0,88.371,348.033,27.934,-24.410402,-14.041605,12.9092045,10.444882
5322,12606,10426,109.44,292.67,2.12,212.136,257.743,128.976,95.905,150.335,6.237,193.701,306.25,134.937,4.027,7.195,75.571,298.619,58.802,18.409,132.659,139.721,137.136,63.056,228.821,177.377,204.309,242.212,38.0,101.61,387.71,39.047,91.699,8.027,187.358,88.504,578.281,301.476,160.504,21.861,32.409,40.564,433.369,102.614,-2.1724014,-29.155106,-1.1667491,8.4217615
